# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
86.0,141.8718816448634,43.06036189463966,-7.184371588363622,141.8672582198809,43.07041254733793,-5.844390041896986,141.864039358676,43.04377476816079,-6.828626027718201,141.8843473560333,43.06689836842026,-8.88009869547568,5.0,4908839.045607261,18.959179342038915,57.647104882561166
87.0,141.86053826849874,43.05577171050618,-5.562040540773826,141.8503172269393,43.05312781601982,-4.013105552706293,141.864039358676,43.04377476816079,-6.828626027718201,141.8672582198809,43.07041254733793,-5.844390041896986,5.0,4170441.438798569,18.933042319520876,57.702401629834476
88.0,141.84026617439795,43.079210327015886,-0.8583739098821752,141.8306231150934,43.06604927549878,-0.0008526293095201254,141.8497488367238,43.07676781714409,-2.574269100337915,141.8404265713767,43.09481388840479,9.094947017729282e-13,5.0,4690806.8437549,18.829106977238784,57.692762670693774
89.0,141.862479025038,43.0268700564011,-7.240697112052658,141.864039358676,43.04377476816079,-6.828626027718201,141.8545992823182,43.01821254851949,-6.240436884746487,141.8687984341198,43.01862285252303,-8.653028423693286,5.0,3823677.5854698946,13.21327637564724,57.68953267089994
90.0,141.8497940442966,43.09206721012081,-1.6187071402215831,141.8497488367238,43.07676781714409,-2.574269100337915,141.8592067247893,43.10461992481357,-2.281852320327744,141.8404265713767,43.09481388840479,9.094947017729282e-13,5.0,4312662.005846301,22.175506812814927,56.307321303993085
91.0,141.84537404751765,43.05922178505782,-2.843570987340778,141.8497488367238,43.07676781714409,-2.574269100337915,141.8360560788898,43.04776972200957,-1.943338308978127,141.8503172269393,43.05312781601982,-4.013105552706293,5.0,3588659.524561881,18.855852309269228,57.72115291848432
92.0,141.85456203433637,43.03084143603897,-5.791548542462806,141.864039358676,43.04377476816079,-6.828626027718201,141.8450474620149,43.03053699143662,-4.30558271492373,141.8545992823182,43.01821254851949,-6.240436884746487,5.0,3583405.535842286,12.572181092697402,55.41137328176264
93.0,141.8531346825434,43.04247985853908,-5.049104765116074,141.8503172269393,43.05312781601982,-4.013105552706293,141.8450474620149,43.03053699143662,-4.30558271492373,141.864039358676,43.04377476816079,-6.828626027718201,5.0,3828113.956860646,17.207147919734716,57.92858179090381
94.0,141.84380692261468,43.043811509822,-3.42067552553605,141.8360560788898,43.04776972200957,-1.943338308978127,141.8450474620149,43.03053699143662,-4.30558271492373,141.8503172269393,43.05312781601982,-4.013105552706293,5.0,3056924.526266837,17.3288810587789,57.16656049140347
95.0,141.838809343569,43.06352893821747,-1.5061533462085208,141.8306231150934,43.06604927549878,-0.0008526293095201254,141.8360560788898,43.04776972200957,-1.943338308978127,141.8497488367238,43.07676781714409,-2.574269100337915,5.0,4299929.946187014,18.851598309667065,57.704087994107404
96.0,141.82916934965615,43.05036760803268,-0.6480636460958824,141.8208288549853,43.03728382658971,0.0,141.8360560788898,43.04776972200957,-1.943338308978127,141.8306231150934,43.06604927549878,-0.0008526293095201254,5.0,3540100.6303134444,18.79390822586556,57.74077295533524
97.0,141.8191120940767,42.98730135521324,-0.9358664095983232,141.8114208344384,42.97181929081795,0.0,141.8297931094592,42.98553311980134,-2.806548101991211,141.8161223383325,43.00455165502044,-0.001051126803758962,5.0,5675273.857027098,8.16322055066325,57.25813016910879
98.0,141.82610479598483,43.00324696983042,-1.7401537366334499,141.8161223383325,43.00455165502044,-0.001051126803758962,141.8297931094592,42.98553311980134,-2.806548101991211,141.8323989401628,43.01965613466948,-2.41286198110538,5.0,5452692.279256856,8.184981791968601,57.24783600587828
99.0,141.8231167111602,43.020497205426544,-0.8046377026363797,141.8161223383325,43.00455165502044,-0.001051126803758962,141.8323989401628,43.01965613466948,-2.41286198110538,141.8208288549853,43.03728382658971,0.0,5.0,4878719.910888228,8.192942714328703,57.25231685066494
100.0,141.829761291346,43.03490322775625,-1.452066763361169,141.8323989401628,43.01965613466948,-2.41286198110538,141.8360560788898,43.04776972200957,-1.943338308978127,141.8208288549853,43.03728382658971,0.0,5.0,3792356.5652108896,13.461871103098176,54.72938189923694
